Job,average_salary
Materials Scientists,"112440"
"Environmental Scientists and Specialists, Including Health","86710"
"Geoscientists, Except Hydrologists and Geographers","104000"
Hydrologists,"96410"
"Physical Scientists, All Other","119050"
Economists,"132650"
Survey Researchers,"66670"
Industrial-Organizational Psychologists,"154380"
Clinical and Counseling Psychologists,"106600"
School Psychologists,"91990"
"Psychologists, All Other","110300"
Sociologists,"106710"
Urban and Regional Planners,"85940"
Anthropologists and Archeologists,"69780"
Geographers,"92460"
Historians,"76120"
Political Scientists,"132020"
"Social Scientists and Related Workers, All Other","102210"
Agricultural Technicians,"46810"
Food Science Technicians,"54000"
Biological Technicians,"56540"
Chemical Technicians,"60920"
"Environmental Science and Protection Technicians, Including Health","57470"
"Geological Technicians, Except Hydrologic Technicians","64590"
Hydrologic Technicians,"61500"
Nuclear Technicians,"97520"
Social Science Research Assistants,"62370"
Forest and Conservation Technicians,"54260"
Forensic Science Technicians,"71540"
"Life, Physical, and Social Science Technicians, All Other","62640"
Occupational Health and Safety Specialists,"85570"
Occupational Health and Safety Technicians,"64250"
"Educational, Guidance, and Career Counselors and Advisors","66990"
Marriage and Family Therapists,"68730"
Rehabilitation Counselors,"48430"
"Substance Abuse, Behavioral Disorder, and Mental Health Counselors","60080"
"Counselors, All Other","52360"
"Child, Family, and School Social Workers","59190"
Healthcare Social Workers,"67430"
Mental Health and Substance Abuse Social Workers,"63870"
"Social Workers, All Other","68800"
Health Education Specialists,"69790"
Probation Officers and Correctional Treatment Specialists,"67880"
Social and Human Service Assistants,"44240"
Community Health Workers,"52610"
"Community and Social Service Specialists, All Other","54020"
Clergy,"63720"
"Directors, Religious Activities and Education","61740"
"Religious Workers, All Other","45050"
Lawyers,"176470"
Judicial Law Clerks,"64880"
"Administrative Law Judges, Adjudicators, and Hearing Officers","119940"
"Arbitrators, Mediators, and Conciliators","95370"
"Judges, Magistrate Judges, and Magistrates","139000"
Paralegals and Legal Assistants,"66460"
"Title Examiners, Abstractors, and Searchers","59440"
"Legal Support Workers, All Other","82960"
"Business Teachers, Postsecondary","113240"
"Computer Science Teachers, Postsecondary","106380"
"Mathematical Science Teachers, Postsecondary","95320"
"Architecture Teachers, Postsecondary","114900"
"Engineering Teachers, Postsecondary","120630"
"Agricultural Sciences Teachers, Postsecondary","95610"
"Biological Science Teachers, Postsecondary","102270"
"Forestry and Conservation Science Teachers, Postsecondary","102230"
"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary","111930"
"Chemistry Teachers, Postsecondary","102630"
"Environmental Science Teachers, Postsecondary","100910"
"Physics Teachers, Postsecondary","106950"
"Anthropology and Archeology Teachers, Postsecondary","103640"
"Area, Ethnic, and Cultural Studies Teachers, Postsecondary","100390"
"Economics Teachers, Postsecondary","133650"
"Geography Teachers, Postsecondary","97660"
"Political Science Teachers, Postsecondary","104910"
"Psychology Teachers, Postsecondary","93990"
"Sociology Teachers, Postsecondary","97580"
"Social Sciences Teachers, Postsecondary, All Other","91710"
"Health Specialties Teachers, Postsecondary","134440"
"Nursing Instructors and Teachers, Postsecondary","86530"
"Education Teachers, Postsecondary","80750"
"Library Science Teachers, Postsecondary","88190"
"Criminal Justice and Law Enforcement Teachers, Postsecondary","83470"
"Law Teachers, Postsecondary","142440"
"Social Work Teachers, Postsecondary","80840"
"Art, Drama, and Music Teachers, Postsecondary","100840"
"Communications Teachers, Postsecondary","90950"
"English Language and Literature Teachers, Postsecondary","87090"
"Foreign Language and Literature Teachers, Postsecondary","88490"
"History Teachers, Postsecondary","93120"
"Philosophy and Religion Teachers, Postsecondary","89680"
"Family and Consumer Sciences Teachers, Postsecondary","89630"
"Recreation and Fitness Studies Teachers, Postsecondary","87340"
"Career/Technical Education Teachers, Postsecondary","68300"
"Postsecondary Teachers, All Other","96570"
"Preschool Teachers, Except Special Education","41410"
"Kindergarten Teachers, Except Special Education","67790"
"Elementary School Teachers, Except Special Education","70740"
"Middle School Teachers, Except Special and Career/Technical Education","71460"
"Career/Technical Education Teachers, Middle School","69020"
"Secondary School Teachers, Except Special and Career/Technical Education","73800"
"Career/Technical Education Teachers, Secondary School","70810"
"Special Education Teachers, Preschool","76420"
"Special Education Teachers, Kindergarten and Elementary School","71770"
"Special Education Teachers, Middle School","73630"
"Special Education Teachers, Secondary School","74670"
"Special Education Teachers, All Other","76000"
"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors","65430"
Self-Enrichment Teachers,"52890"
"Substitute Teachers, Short-Term","43570"
Tutors,"48580"
"Teachers and Instructors, All Other","70340"
Archivists,"65700"
Curators,"70870"
Museum Technicians and Conservators,"54890"
Librarians and Media Collections Specialists,"68570"
Library Technicians,"42570"
Farm and Home Management Educators,"61430"
Instructional Coordinators,"77200"
"Teaching Assistants, Postsecondary","47030"
"Teaching Assistants, Except Postsecondary","36430"
"Educational Instruction and Library Workers, All Other","54910"
Art Directors,"125920"
Craft Artists,"43610"
"Fine Artists, Including Painters, Sculptors, and Illustrators","71420"
Special Effects Artists and Animators,"109630"
"Artists and Related Workers, All Other","78890"
Commercial and Industrial Designers,"81870"
Fashion Designers,"97030"
Floral Designers,"35500"
Graphic Designers,"64700"
Interior Designers,"68530"
Merchandise Displayers and Window Trimmers,"39040"
Set and Exhibit Designers,"67170"
"Designers, All Other","75960"
Actors,-4
Producers and Directors,"107170"
Athletes and Sports Competitors,"328830"
Coaches and Scouts,"58700"
"Umpires, Referees, and Other Sports Officials","44860"
Dancers,-4
Choreographers,"59090"
Music Directors and Composers,"87840"
Musicians and Singers,-4
"Disc Jockeys, Except Radio",-4
"Entertainers and Performers, Sports and Related Workers, All Other",-4
Broadcast Announcers and Radio Disc Jockeys,"86950"
"News Analysts, Reporters, and Journalists","101430"
Public Relations Specialists,"77720"
Editors,"85110"
Technical Writers,"86620"
Writers and Authors,"87590"
Interpreters and Translators,"63080"
Court Reporters and Simultaneous Captioners,"71040"
"Media and Communication Workers, All Other","87140"
Audio and Video Technicians,"59260"
Broadcast Technicians,"71600"
Sound Engineering Technicians,"74100"
Lighting Technicians,"73250"
Photographers,"53380"
"Camera Operators, Television, Video, and Film","71890"
Film and Video Editors,"83470"
"Media and Communication Equipment Workers, All Other","75860"
Chiropractors,"89760"
"Dentists, General","191750"
Oral and Maxillofacial Surgeons,"334310"
Orthodontists,"243620"
Prosthodontists,"240750"
"Dentists, All Other Specialists","244470"
Dietitians and Nutritionists,"71280"
Optometrists,"143000"
Pharmacists,"134790"
Physician Assistants,"130490"
Podiatrists,"162520"
Occupational Therapists,"96790"
Physical Therapists,"100440"
Radiation Therapists,"104420"
Recreational Therapists,"60910"
Respiratory Therapists,"80340"
Speech-Language Pathologists,"92630"
Exercise Physiologists,"57050"
"Therapists, All Other","75660"
Veterinarians,"136300"
Registered Nurses,"94480"
Nurse Anesthetists,"214200"
Nurse Midwives,"131570"
Nurse Practitioners,"128490"
Audiologists,"92620"
Anesthesiologists,"339470"
Cardiologists,"423250"
Dermatologists,"342860"
Emergency Medicine Physicians,"306640"
Family Medicine Physicians,"240790"
General Internal Medicine Physicians,"245450"
Neurologists,"271470"
Obstetricians and Gynecologists,"278660"
"Pediatricians, General","205860"
"Physicians, Pathologists","270560"
Psychiatrists,"256930"
Radiologists,"353960"
"Physicians, All Other","248640"
"Ophthalmologists, Except Pediatric","312120"
"Orthopedic Surgeons, Except Pediatric","378250"
Pediatric Surgeons,"449320"
"Surgeons, All Other","343990"
Acupuncturists,"84260"
Dental Hygienists,"89890"
"Healthcare Diagnosing or Treating Practitioners, All Other","123840"
Cardiovascular Technologists and Technicians,"70270"
Diagnostic Medical Sonographers,"89020"
Nuclear Medicine Technologists,"95080"
Radiologic Technologists and Technicians,"75250"
